고유번호,문법번호,영어예문,번역문,질문,관련문,참조문,출처
1,10101010000,A small wooden box emerged.,작은 나무상자 하나가 나왔다.,"""A small wooden box ""가 [작은 나무상자 하나가]로 ""a""가 ""하나""로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
2,10101010000,There is a policeman at the door.,문에 어떤 경찰관이 있다.,"""a policeman""이 [어떤 경찰관]로 번역되었습니까?",,,문법책-Hornby
3,10101010000,They were much of a size.,그들은 거의 같은 사이즈였다.,"""a size""가[같은 사이즈]로, ""a""가 [같은]으로 번역되었습니까?",,,문법책-Hornby
4,10101010000,I've never heard of a Mr. Clark in this office.,나는 이 사무실에서 클라크씨라는 사람에 대해 들은 적이 없다.,"""a Mr.Clark""가 [클라크씨라는 사람]으로, 부정관사의 특수용법으로 번역되었습니까?",,,문법책-Hornby
5,10101010000,I've never read a Shakespeare.,나는 셰익스피어의 작품을 읽은 적이 없다.,"""a Shakespeare""가 [셰익스피어의 작품]으로, 부정관사의 특수용법으로 번역되었습니까?",,,문법책-Hornby
6,10101020000,I was the taxi driver.,제가 바로 그 택시 운전사였습니다.,"""the taxi driver""가 [그 택시 운전사]라고 ""the""가 해석이 되어 번역되었습니까?",,,영어교과서-고교ii-a-1
7,10101020000,The sky was blue.,하늘은 파랬다.,"""the sky""가 [하늘]로, 정관사 the의 번역이 생략되어 번역되었습니까?",,,문법책-Hornby
8,10101020000,The rich often lead frugal lives.,부자는 종종 검소한 인생을 보낸다.,"""the rich""가[부자]로, 보통명사로 번역되었습니까?",,,문법책-Hornby
9,10101020000,The Smiths went out in the morning.,스미스 일가는 아침에 외출했다.,The Smiths이 [스미스 일가]로 번역되었습니까?,,,문법책-Hornby
10,10101020000,The beautiful is not always good.,미가 항상 좋은 것만은 아니다.,"""the beautiful""이 [美]로, 추상명사로 번역되었습니까?",,,문법책-Hornby
11,10101020000,The dog is a faithful animal.,개는 충실한 동물이다.,"""The dog""가 [개]로, 정관사가 생략되어 종족을 나타내는 표현으로 번역이 되었습니까?",,,문법책-성문기본
12,10101030000,I gave her a white and blue apron.,나는 그녀에게 흰색과 청색이 섞인 앞치마를 주었다.,"“a white and blue apron""이 [색이 두 색인 한 개의 앞치마]의 의미로 번역되었습니까?",,,문법책-Hornby
13,10101030000,Go to school.,공부하러 가다,"""Go to school""이 [공부하러 가다]로, 본래의 목적을 의미하도록 번역이 되었습니까",,,문법책-성문기본
14,10101030000,A poet and novelist is present.,시인이며 소설가인 분이 참석했다.,"""A poet and novelist""가 [시인이며 소설가인 분]과 같이, ""poet"" 과 ""novelist"" 가 동일 인물로 번역이 되었습니까?",,,문법책-성문기본
15,10101030000,A poet and a novelist are present.,한 시인과 한 소설가가 참석했다.," ""A poet and a novelist ""가 [한 시인과 한 소설가]로 ""poet""과 ""novelist""가 각각 다른 인물임을 의미하도록 번역이 되었습니까?",,,문법책-성문기본
